1,2,3,4,5
370176,82398,122067,337407,387695
389116,75209,167850,391076,396344
481726,90352,143053,416835,474154
491139,91297,137271,400843,459827
617526,168763,363341,997466,952519
446778,83347,131219,386739,426409
479011,89122,142450,418277,476242
542476,90316,145938,438179,496673
612530,153311,205251,505176,574764
680820,120085,193416,561876,633129
457497,86157,136836,399919,457980
396066,74604,117595,346761,389640
527927,97745,158014,458182,519138
672334,74579,118407,337567,404021
626532,108004,173448,499259,572917
1231589,211856,349686,686403,498558
573656,107411,173594,536732,571722
517893,78831,122059,343116,384140
605499,75074,121486,343376,439277
409084,76440,122978,378413,410119
779494,143645,245728,674647,882899
394390,74312,117787,349550,381342
573678,107317,160849,505216,571873
372184,82460,121647,336539,385189
588313,155159,185726,501369,556640
528649,98012,156896,499846,579245
609711,147260,227980,545419,604150
649841,121273,259113,561736,636302
641132,117398,249699,345554,395732
442616,116103,162353,407342,457842
504317,90284,145203,418791,474758
394792,75565,125867,348263,444598
832167,113466,133548,378080,471405
676640,194976,205820,565805,628608
589123,108010,174124,515686,668044
607897,115228,205434,548359,620576
628279,119834,208725,605528,647610
403799,109996,137472,366178,421438
681572,123767,978305,659136,863167
478044,93953,141839,418999,487355
514205,128861,224629,665698,682956
544761,99215,155243,478577,548664
1058687,166118,290949,948731,1062041
502587,121450,151688,437892,573846
370973,81498,122425,501945,392644
371055,81222,126904,340819,388159
582472,113588,190241,991341,668878
680105,136617,218473,619525,733504
467077,127112,156682,379275,446356
419405,81830,128212,380177,417472
371480,81774,179806,511572,412250
960367,122948,377234,649635,665712
770516,131167,208272,559917,667401
415323,76891,118817,400062,392010
500495,95269,151880,466446,499053
442264,83353,128022,384764,437910
411568,78144,118578,357836,407292
570052,184073,328683,642124,832349
615023,83282,125296,345036,385219
439967,83354,168424,423440,438078
694524,107105,165906,491797,546985
1001762,130768,224314,374921,386090
368850,81540,121212,343246,386600
397817,75422,120249,343328,409302
444776,82734,122161,346750,387868
477092,109934,167378,385315,437647
1276861,216454,355977,1110681,1218870
563626,94311,151472,432321,590835
492887,83041,132530,386064,433718
449527,81088,127143,366902,424640
473522,83091,133675,401532,455544
480782,90605,144550,419232,479881
577855,104770,165800,527772,599895
694565,115726,204154,592006,698237
648192,100732,157854,459731,547840
607737,113466,180249,547595,602608
398180,74476,123723,343625,410826
449010,81012,127591,370610,421562
446597,96436,133226,387173,437977
455003,81981,127759,369746,424806
905869,148180,236364,682217,534931
649393,121929,193699,571896,642039
445845,117468,143655,560036,635931
462532,121674,156459,419281,474542
395480,75476,168505,390851,395070
377376,81695,122199,350018,386562
477973,137500,165742,870092,1126225
422277,80778,127913,371649,484065
398965,71334,114756,342660,392768
777554,139889,236272,681618,782390
369366,81412,121849,342090,385289
408533,76749,143233,364461,405556
791884,238106,221280,651098,753787
533399,87175,137267,401238,459124
416832,106405,137111,400775,417352
457141,85849,133780,401962,505150
1216255,251599,394853,1261023,1232862
543832,102143,165387,503249,547726
442117,83108,131779,387757,437995
843522,156804,252416,740114,637297
731368,137158,217958,766606,514901
926727,146828,237103,686279,777854
645980,114523,181962,536997,609252
766910,129074,209495,600104,682321
409652,78149,128336,358199,408329
627689,75485,121657,342965,391369
577359,108102,173617,503401,575522
449988,82858,132231,384402,439757
524693,93959,155852,465297,564996
460258,124028,155224,420304,466024
489344,80665,146135,346008,391332
781666,147223,234891,770746,432615
492271,90739,150959,417342,607333
423635,79500,126741,372623,420307
423225,76371,190599,415787,491735
681600,122637,205957,596313,681257
667323,111923,176629,507449,604641
833746,82134,121416,340190,383047
532975,90376,149713,437134,496192
474887,83572,133177,386528,442203
780606,160249,241556,685822,674613
704629,117012,185415,532018,608876
519003,99553,157095,485332,522883
447194,82532,125093,354022,394190
395811,75406,118670,350155,392832
410509,72672,123589,356612,405348
677310,82842,121484,343664,385286
425996,76474,127325,368980,467257
368371,81883,119922,379873,705418
635440,137898,184791,533162,608332
524739,98465,152474,522338,557574
461005,136265,223296,445592,426116
410023,77410,122392,497690,696274
837986,148048,228839,876592,396402
781151,113953,205852,581345,625090
595958,116689,326021,696118,776241
547270,101712,164108,476675,888836
372126,82729,120535,338068,389675
398139,70416,117854,346455,389820
523992,94402,157245,464427,574768
474891,127260,158191,514964,500549
998110,91893,143633,418617,471521
538255,75552,121530,344950,392449
393850,75222,123796,343391,391641
732158,137308,231658,680674,782107
943950,128896,257225,597261,581119
840589,150839,254322,745788,1105558
845855,156233,243340,676426,847244
657180,142387,212200,582898,663245
811101,100335,135872,363563,379016
485820,117605,157305,416579,469578
996990,133660,176017,440050,679509
963142,202846,344758,974503,1107189
606943,112801,182532,525262,598886
409859,76045,118747,415764,408809
369726,102079,119076,332263,380126
499677,93103,153388,439087,490458
524268,93994,150424,441649,496042
422370,78956,122758,369396,467954
644519,115282,191745,462295,398119
644506,120141,191253,565617,638450
484041,85756,142707,415368,472563
577339,109259,179892,504886,567581
674108,168027,202829,655986,858491
719777,223376,222993,709015,710018
610310,134980,148435,447215,525451
434217,72255,115262,339278,390279
370758,82078,124455,343352,386836
592489,104109,174196,752860,686176
578068,109218,238492,506861,1208601
577425,108229,173835,499900,576359
589373,134226,196960,485833,398411
481604,138787,223475,455585,521288
392312,71428,142017,349738,423276
1221054,172429,290955,1117445,1255315
593775,135540,219131,578857,661079
540535,157867,265127,945634,1364422
784380,153266,261625,672802,533482
475116,89755,184586,678120,542554
372443,86643,123440,334289,388507
647661,140029,194064,615628,751393
395295,109608,141167,380566,589069
394992,74439,118759,340286,390392
573080,77391,121164,350323,461163
415627,100742,129359,342953,387318
473769,103282,166563,404994,499040
484761,126409,219215,419738,476075
1245071,187879,231618,701947,693391
399427,120381,227674,759343,761966
627191,120149,215474,611246,520084
569419,118550,179501,430549,513530
641170,119296,191808,745672,1428910
576374,108517,168777,505138,574244
500674,102155,127965,362392,650215
428200,98803,150525,367496,422443
453059,108809,136007,374401,427997
1696953,243801,544362,1636077,1345950
645009,119278,191573,1128278,1219688
388599,81209,120577,355162,411630
425540,79942,126262,369886,417580
406043,77459,123228,351208,394269
1167015,241062,339898,767975,699585
394552,74430,118602,343665,391423
636445,129047,197360,744570,790575
539391,110516,159760,378336,408374
589588,106859,137109,386923,452397
390051,81062,126838,347796,387793
408696,77181,119177,353695,404891
682732,205336,133162,363324,401699
646283,131479,224419,661637,764016
400435,76363,127937,349037,419561
525347,129478,174529,468152,528320
737791,194142,127322,337416,401655
443002,83043,132083,387369,452911
576653,109292,172512,509478,578965
459588,80117,123969,375451,447205
401561,74750,118227,345889,392148
368901,78124,121060,362603,385671
573592,101443,168164,460856,525213
461849,85577,143764,400395,453886
548778,173886,364387,1072780,1204113
683436,132441,189411,625358,653637
396615,112959,136473,360935,603120
709718,116428,209546,625511,751610
448500,73882,121389,521330,643789
649393,129668,238255,567757,733693
468528,87561,136969,399872,451550
992053,170956,268680,800660,729928
395998,75129,119276,346343,427545
480219,91989,142996,418466,502668
479174,89981,143118,456912,511132
442452,83239,133475,386994,438840
425401,78044,126321,369075,424469
1282818,266378,333898,949780,1150683
508122,86621,138778,403080,458679
729993,137546,210746,693383,579303
537633,99225,157417,457848,519104
548077,103122,164838,541848,549584
479531,125780,162287,436703,495708
411741,72636,122368,352480,400641
738457,73383,118324,344601,390326
525791,97101,152468,457534,543457
377087,80897,128898,343729,389000
649281,127955,253856,595698,727280
402515,76382,121768,350916,447500
489011,123811,226797,536670,399720
564922,119774,158809,459835,527426
512937,90246,137159,391198,443294
440587,82559,131365,378192,438898
651442,121353,193456,561072,633989
393673,76463,116311,349987,399073
461815,88640,139041,408128,459992
646661,119920,192914,556088,643862
614214,102992,165982,511632,546732
619889,94524,150730,479532,491336
